Song Name,Artist Name
Hero,Family of the Year
Big Dawgs,Hanumankind
People Help the People,Birdy
Summer Nights,Lauv
THE SHADE,Rex Orange County
Pink Skies,Zach Bryan
It Ain't Me (with Selena Gomez),Kygo
Your Hand in Mine,Explosions In The Sky
Kaun Tujhe (Armaan Malik Version),Armaan Malik
Sunday,The Cranberries
Red Wine Supernova,Chappell Roan
Forever Young,Alphaville
Wrecked,Imagine Dragons
There You Are,ZAYN
Hawayein,Pritam
Siren 042,Lala Lala
I Want You In My Dreams,Edith Whiskers
Katiya Karun,Harshdeep Kaur
Hey Lovely,Chance Peña
Kun Faya Kun,A.R. Rahman
us. (feat. Taylor Swift),Gracie Abrams
watch you sleep.,girl in red
Strictly Business,EPMD
Head In The Clouds,Hayd
Stolen Dance,Milky Chance
Good Things Fall Apart (with Jon Bellion),ILLENIUM
If You're Not In Love,Dreamer Boy
Lose It All,Lost in Lona
Can We Kiss Forever?,Kina
Will It Ever Feel The Same?,Bazzi
Rollercoaster,Bleachers
When I Look At You,Miley Cyrus
Universe,Annika Bennett
Frozen Pines,Lord Huron
Nights Like This,St. Lundi
arms,Daniel Leggs
Bathroom Light,Mt. Joy
Don't Stop Believin',Journey
Relatively Permanent,Chris Staples
Ye Tune Kya Kiya,Pritam
They Like (feat. YFN Lucci),Yo Gotti
This Is The Life,Amy Macdonald
"Dear Maria, Count Me In",All Time Low
The Rains of Castamere (From the HBO® Series Game Of Thrones - Season 4),Sigur Rós
Hide Away,Daya
Wind Up Missin' You,Tucker Wetmore
hostage,Billie Eilish
highway 95,Baby Keem
Dark Side of the Moon,Chris Staples
Looking Too Closely,Fink
Saturn,Sleeping At Last
Aphrodite,The Ridleys
Little Dark Age,MGMT
Passionfruit,Drake
Used To Be Young,Miley Cyrus
"Same Day, Same Face",Novo Amor
I Bet My Life,Imagine Dragons
Loving You,Seafret
Selfless,The Strokes
Don't Look Back in Anger - Remastered,Oasis
End of Beginning,Djo
Capital Letters,Hailee Steinfeld
lover's grip,Them & I
